times,馬祖,彭佳嶼,鞍部,淡水,竹子湖,基隆,臺北,新屋,板橋,新竹,宜蘭,蘇澳,金門,梧棲,台中,花蓮,日月潭,澎湖,阿里山,嘉義,玉山,東吉島,七股,成功,永康,台南,台東,高雄,大武,蘭嶼,恆春
2016-01-01 01:00:00,999.9,999.9,170,290,30,60,80,50,60,40,240,240,999.9,10,0,30,200,999.9,180,0,250,999.9,999.9,40,10,50,340,340,40,999.9,50
2016-01-01 02:00:00,999.9,999.9,160,300,30,60,80,50,70,50,260,240,999.9,20,0,330,270,999.9,V,0,260,999.9,999.9,30,360,50,330,30,40,999.9,40
2016-01-01 03:00:00,999.9,999.9,170,300,30,60,70,50,70,50,260,250,999.9,10,110,0,160,999.9,170,0,260,999.9,999.9,30,340,40,330,340,30,999.9,50
2016-01-01 04:00:00,999.9,999.9,170,310,20,70,80,50,60,40,260,260,999.9,10,130,10,0,999.9,140,0,270,999.9,999.9,40,10,40,320,340,30,999.9,50
2016-01-01 05:00:00,999.9,999.9,160,280,30,70,70,50,70,50,250,240,999.9,360,240,310,0,999.9,190,0,280,999.9,999.9,30,10,60,340,10,30,999.9,50
2016-01-01 06:00:00,999.9,999.9,160,260,30,60,70,50,60,70,260,260,999.9,10,0,330,0,999.9,210,0,280,999.9,999.9,30,10,60,350,350,30,999.9,40
2016-01-01 07:00:00,999.9,999.9,160,290,30,60,90,50,60,40,260,240,999.9,20,120,260,280,999.9,230,0,280,999.9,999.9,30,360,40,350,350,30,999.9,40
2016-01-01 08:00:00,999.9,999.9,160,320,30,60,80,50,60,40,270,240,999.9,10,0,250,0,999.9,230,0,280,999.9,999.9,50,20,60,330,350,30,999.9,50
2016-01-01 09:00:00,999.9,999.9,130,290,40,70,50,50,70,40,250,240,999.9,350,70,260,0,999.9,200,10,260,999.9,999.9,30,10,50,340,340,50,999.9,40
2016-01-01 10:00:00,999.9,999.9,160,140,30,60,60,50,50,40,280,240,999.9,350,170,10,320,999.9,190,0,250,999.9,999.9,40,360,30,360,0,40,999.9,40
2016-01-01 11:00:00,999.9,999.9,160,140,40,50,50,50,60,40,290,260,999.9,350,240,50,330,999.9,340,330,230,999.9,999.9,40,10,40,50,270,40,999.9,40
2016-01-01 12:00:00,999.9,999.9,140,150,20,40,50,30,60,30,320,250,999.9,360,320,30,340,999.9,360,350,250,999.9,999.9,20,330,350,40,280,40,999.9,40
